"","yearly_id","down","snap_count","team_snaps","snap_down_usage"
"398","2021_00-0030496",3,43,113,38.0530973451327
"399","2021_00-0030496",4,1,12,8.33333333333333
"400","2021_00-0030506",1,483,619,78.0290791599354
"401","2021_00-0030506",2,379,452,83.8495575221239
"402","2021_00-0030506",3,240,256,93.75
"403","2021_00-0030506",4,11,14,78.5714285714286
"404","2021_00-0030513",1,173,442,39.1402714932127
"405","2021_00-0030513",2,124,337,36.7952522255193
"406","2021_00-0030513",3,57,184,30.9782608695652
"407","2021_00-0030513",4,13,21,61.9047619047619
"408","2021_00-0030520",1,90,115,78.2608695652174
"409","2021_00-0030520",2,65,88,73.8636363636364
"410","2021_00-0030520",3,46,66,69.6969696969697
"411","2021_00-0030520",4,7,9,77.7777777777778
"412","2021_00-0030525",1,106,330,32.1212121212121
"413","2021_00-0030525",2,95,245,38.7755102040816
"414","2021_00-0030525",3,70,156,44.8717948717949
"415","2021_00-0030525",4,7,24,29.1666666666667
"416","2021_00-0030561",1,388,408,95.0980392156863
"417","2021_00-0030561",2,286,304,94.0789473684211
"418","2021_00-0030561",3,177,190,93.1578947368421
"419","2021_00-0030561",4,20,22,90.9090909090909
"420","2021_00-0030564",1,246,298,82.5503355704698
"421","2021_00-0030564",2,205,242,84.7107438016529
"422","2021_00-0030564",3,113,129,87.5968992248062
"423","2021_00-0030564",4,9,12,75
"424","2021_00-0030565",1,93,112,83.0357142857143
"425","2021_00-0030565",2,72,86,83.7209302325581
"426","2021_00-0030565",3,40,46,86.9565217391304
"427","2021_00-0030565",4,2,3,66.6666666666667
"428","2021_00-0030578",1,201,402,50
"429","2021_00-0030578",2,149,308,48.3766233766234
"430","2021_00-0030578",3,82,202,40.5940594059406
"431","2021_00-0030578",4,6,20,30
"432","2021_00-0030584",1,389,431,90.2552204176334
"433","2021_00-0030584",2,284,319,89.0282131661442
"434","2021_00-0030584",3,170,192,88.5416666666667
"435","2021_00-0030584",4,18,22,81.8181818181818
"436","2021_00-0030585",1,345,391,88.2352941176471
"437","2021_00-0030585",2,276,310,89.0322580645161
"438","2021_00-0030585",3,164,183,89.6174863387978
"439","2021_00-0030585",4,16,20,80
"440","2021_00-0030648",1,539,554,97.2924187725632
"441","2021_00-0030648",2,398,409,97.3105134474328
"442","2021_00-0030648",3,223,232,96.1206896551724
"443","2021_00-0030648",4,30,30,100
"444","2021_00-0030663",1,17,235,7.23404255319149
"445","2021_00-0030663",2,19,191,9.94764397905759
"446","2021_00-0030663",3,13,111,11.7117117117117
"447","2021_00-0030663",4,2,11,18.1818181818182
"448","2021_00-0030669",1,134,375,35.7333333333333
"449","2021_00-0030669",2,110,309,35.5987055016181
"450","2021_00-0030669",3,82,196,41.8367346938776
"451","2021_00-0030669",4,7,15,46.6666666666667
"452","2021_00-0030694",1,243,251,96.8127490039841
"453","2021_00-0030694",2,218,229,95.1965065502183
"454","2021_00-0030694",3,154,164,93.9024390243902
"455","2021_00-0030694",4,12,14,85.7142857142857
"456","2021_00-0030725",1,262,288,90.9722222222222
"457","2021_00-0030725",2,179,195,91.7948717948718
"458","2021_00-0030725",3,126,134,94.0298507462687
"459","2021_00-0030725",4,17,19,89.4736842105263
"460","2021_00-0030781",1,450,466,96.5665236051502
"461","2021_00-0030781",2,343,355,96.6197183098592
"462","2021_00-0030781",3,209,217,96.3133640552995
"463","2021_00-0030781",4,18,19,94.7368421052632
"464","2021_00-0030792",1,216,234,92.3076923076923
"465","2021_00-0030792",2,171,186,91.9354838709677
"466","2021_00-0030792",3,124,136,91.1764705882353
"467","2021_00-0030792",4,9,10,90
"468","2021_00-0030827",1,231,267,86.5168539325843
"469","2021_00-0030827",2,180,205,87.8048780487805
"470","2021_00-0030827",3,117,132,88.6363636363636
"471","2021_00-0030827",4,16,19,84.2105263157895
"472","2021_00-0030829",1,61,192,31.7708333333333
"473","2021_00-0030829",2,51,162,31.4814814814815
"474","2021_00-0030829",3,34,89,38.2022471910112
"475","2021_00-0030829",4,6,8,75
"476","2021_00-0030869",1,79,151,52.317880794702
"477","2021_00-0030869",2,55,108,50.9259259259259
"478","2021_00-0030869",3,42,76,55.2631578947368
"479","2021_00-0030869",4,6,16,37.5
"480","2021_00-0030874",1,49,302,16.2251655629139
"481","2021_00-0030874",2,53,238,22.2689075630252
"482","2021_00-0030874",3,39,149,26.1744966442953
"483","2021_00-0030874",4,6,23,26.0869565217391
"484","2021_00-0030968",1,140,425,32.9411764705882
"485","2021_00-0030968",2,81,328,24.6951219512195
"486","2021_00-0030968",3,17,213,7.981220657277
"487","2021_00-0030968",4,3,22,13.6363636363636
"488","2021_00-0031019",1,439,460,95.4347826086957
"489","2021_00-0031019",2,337,359,93.8718662952646
"490","2021_00-0031019",3,209,222,94.1441441441441
"491","2021_00-0031019",4,36,37,97.2972972972973
"492","2021_00-0031022",1,129,141,91.4893617021277
"493","2021_00-0031022",2,102,113,90.2654867256637
"494","2021_00-0031022",3,69,73,94.5205479452055
"495","2021_00-0031022",4,10,12,83.3333333333333
"496","2021_00-0031039",1,56,83,67.4698795180723
"497","2021_00-0031039",2,42,60,70
"498","2021_00-0031039",3,21,32,65.625
"499","2021_00-0031039",4,0,1,0
"500","2021_00-0031045",1,113,339,33.3333333333333
"501","2021_00-0031045",2,85,258,32.9457364341085
"502","2021_00-0031045",3,87,163,53.3742331288344
"503","2021_00-0031045",4,12,23,52.1739130434783
"504","2021_00-0031051",1,11,143,7.69230769230769
"505","2021_00-0031051",2,8,102,7.84313725490196
"506","2021_00-0031051",3,7,67,10.4477611940298
"507","2021_00-0031051",4,0,11,0
"508","2021_00-0031062",1,17,87,19.5402298850575
"509","2021_00-0031062",2,21,67,31.3432835820896
"510","2021_00-0031062",3,25,46,54.3478260869565
"511","2021_00-0031062",4,0,4,0
"512","2021_00-0031067",1,130,141,92.1985815602837
"513","2021_00-0031067",2,93,103,90.2912621359223
"514","2021_00-0031067",3,60,65,92.3076923076923
"515","2021_00-0031067",4,6,6,100
"516","2021_00-0031095",1,496,498,99.5983935742972
"517","2021_00-0031095",2,350,352,99.4318181818182
"518","2021_00-0031095",3,234,236,99.1525423728814
"519","2021_00-0031095",4,31,31,100
"520","2021_00-0031122",1,445,448,99.3303571428571
"521","2021_00-0031122",2,335,337,99.406528189911
"522","2021_00-0031122",3,213,214,99.5327102803738
"523","2021_00-0031122",4,28,28,100
"524","2021_00-0031142",1,462,464,99.5689655172414
"525","2021_00-0031142",2,352,354,99.4350282485876
"526","2021_00-0031142",3,214,215,99.5348837209302
"527","2021_00-0031142",4,35,35,100
"528","2021_00-0031235",1,345,472,73.0932203389831
"529","2021_00-0031235",2,282,367,76.8392370572207
"530","2021_00-0031235",3,199,233,85.4077253218884
"531","2021_00-0031235",4,20,25,80
"532","2021_00-0031236",1,304,377,80.6366047745358
"533","2021_00-0031236",2,250,302,82.7814569536424
"534","2021_00-0031236",3,210,221,95.0226244343891
"535","2021_00-0031236",4,18,19,94.7368421052632
"536","2021_00-0031237",1,362,382,94.7643979057592
"537","2021_00-0031237",2,263,282,93.2624113475177
"538","2021_00-0031237",3,168,180,93.3333333333333
"539","2021_00-0031237",4,22,22,100
"540","2021_00-0031260",1,128,176,72.7272727272727
"541","2021_00-0031260",2,95,131,72.5190839694656
"542","2021_00-0031260",3,65,77,84.4155844155844
"543","2021_00-0031260",4,6,8,75
"544","2021_00-0031273",1,193,505,38.2178217821782
"545","2021_00-0031273",2,167,405,41.2345679012346
"546","2021_00-0031273",3,107,236,45.3389830508475
"547","2021_00-0031273",4,13,18,72.2222222222222
"548","2021_00-0031279",1,417,426,97.887323943662
"549","2021_00-0031279",2,323,328,98.4756097560976
"550","2021_00-0031279",3,209,214,97.6635514018692
"551","2021_00-0031279",4,22,23,95.6521739130435
